user_id,product_id,billing_region,shipping_region,payment_type,device_type,browser,order_amount,order_date,num_failed_payments,is_cod,account_age_days,num_prev_orders,loyalty_score,ip_address_risk_score,device_trust_score,device_change_count,is_fraud
U10001,P5605,Delhi,Delhi,UPI,Tablet,Chrome,1488.61,2025-08-23,1,No,482,37,0.38,0.15837558181752728,0.56,2,No
U10001,P5274,Delhi,Delhi,UPI,Tablet,Firefox,2722.69,2024-01-17,0,Yes,482,37,0.38,0.28913101017102427,0.63,2,No
U10001,P6652,Delhi,Guwahati,Credit Card,Mobile,Chrome,1420.72,2025-02-07,1,No,482,37,0.38,0.221698244621235,0.56,2,No
U10001,P5709,Delhi,Delhi,Debit Card,Mobile,Chrome,4778.58,2025-08-02,1,No,482,37,0.38,0.16514139777484244,0.56,2,No
U10001,P5154,Delhi,Delhi,COD,Mobile,Firefox,2271.41,2024-11-22,1,No,482,37,0.38,0.28672623564940697,0.56,2,No
U10001,P5112,Delhi,Chennai,COD,Mobile,Edge,1559.44,2024-05-26,2,Yes,482,37,0.38,0.22592489208666428,0.5,2,Yes
U10002,P6304,Delhi,Delhi,UPI,Mobile,Firefox,2726.8,2025-01-01,0,Yes,1049,82,0.38,0.16532074942316208,0.93,2,No
U10002,P6272,Delhi,Bangalore,Debit Card,Desktop,Firefox,322.03,2024-06-29,2,No,1049,82,0.38,0.19343755027695883,0.74,2,Yes
U10002,P6381,Delhi,Delhi,COD,Mobile,Safari,6884.48,2024-11-21,1,No,1049,82,0.38,0.1431014210291714,0.83,2,No
U10002,P6839,Delhi,Delhi,Wallet,Mobile,Firefox,759.61,2024-12-07,0,Yes,1049,82,0.38,0.14308648650201333,0.93,2,No
U10002,P6136,Delhi,Delhi,Debit Card,Mobile,Safari,1127.97,2025-06-20,2,No,1049,82,0.38,0.2604206862216233,0.74,2,Yes
U10002,P6595,Delhi,Mumbai,COD,Mobile,Edge,701.05,2024-09-28,1,No,1049,82,0.38,0.15507623070585552,0.83,2,No
U10002,P5726,Delhi,Delhi,Credit Card,Mobile,Edge,3704.33,2024-01-10,0,Yes,1049,82,0.38,0.13312148213615843,0.93,2,No
U10002,P6753,Delhi,Delhi,COD,Mobile,Chrome,2500.46,2024-07-09,0,No,1049,82,0.38,0.23178705661854962,0.93,2,No
